18.25;18.25;17.75;17.75;19.00;18.50;18.75;18.75;;;;;
16.75;17.25;17.25;16.75;17.75;16.75;18.25;18.50;;;;Dit is eenmeting met de sensor op 3,4 meter. Ik zelf ben ongeveer 1,8m groot.;
15.50;16.25;15.50;15.50;16.75;16.75;17.50;17.50;;;;Test over appr. 1m²;
14.75;15.50;15.50;16.00;15.75;17.25;16.75;17.25;;;;Bij een sensor op 1,6 meter van de persoon geeft een resolutie van 1 tot 2 pixels.;
16.25;17.25;16.25;15.25;15.50;16.25;17.00;17.00;;;;Ik veronderstel dat dit vooral mijn hoofd was want ik voor de rest bijna volledig bedekt met een trui.;
18.00;18.50;16.00;14.75;15.00;16.25;16.75;17.75;;;;De tweede pixels waren waarschijnlijk mijn handen met GSM en schouder bovenanacht if onderliggende delen die zichtbaar worden door de hoek.;
16.00;16.00;15.25;15.00;15.25;15.75;16.00;16.50;;;;;
14.75;14.75;14.75;14.50;14.25;14.50;15.50;15.50;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
18.25;18.00;17.75;18.00;18.75;18.50;19.00;19.25;;;;;
17.00;17.25;17.50;17.50;17.50;17.50;18.00;18.50;;;;;
16.25;16.00;15.75;16.50;16.25;17.00;17.25;17.25;;;;;
15.00;15.75;15.50;17.00;17.25;17.50;17.50;17.75;;;;;
15.75;15.50;15.75;19.75;20.25;16.25;16.75;17.75;;;;;
16.25;15.00;14.75;17.25;17.00;16.25;16.75;16.75;;;;;
15.75;16.00;16.00;16.00;15.75;16.25;16.25;16.50;;;;;
14.25;14.50;14.25;14.50;15.00;14.75;15.50;16.25;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
18.00;17.50;18.00;18.00;18.75;18.50;18.50;19.25;;;;;
16.25;17.50;17.25;17.00;17.50;17.50;18.25;18.50;;;;;
15.50;16.25;16.25;16.00;16.75;16.75;17.75;17.75;;;;;
15.25;15.00;15.50;16.25;17.75;17.75;17.25;17.25;;;;;
15.50;15.25;15.00;16.25;21.75;17.75;17.50;17.50;;;;;
15.75;14.75;15.00;15.25;16.25;16.25;16.75;16.75;;;;;
15.75;16.00;15.50;15.25;15.00;16.50;16.25;16.75;;;;;
14.50;14.75;14.75;14.50;15.00;15.00;15.75;16.25;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
18.00;18.25;18.00;18.00;18.25;19.00;18.50;19.25;;;;;
17.00;16.75;17.00;17.00;17.50;17.25;18.00;18.75;;;;;
15.50;16.00;16.25;16.50;17.00;17.00;17.50;17.75;;;;;
15.75;15.75;15.50;17.00;20.00;18.50;17.25;17.75;;;;;
15.00;15.50;15.50;15.75;17.50;16.50;17.25;17.50;;;;;
15.75;14.50;14.75;14.50;15.25;16.25;16.25;17.50;;;;;
15.75;15.50;15.50;15.00;15.25;15.75;16.25;16.25;;;;;
15.00;14.50;15.00;13.75;14.75;14.50;15.00;15.75;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
18.00;18.00;18.00;18.00;18.25;18.75;18.75;19.50;;;;;
16.75;17.00;17.25;17.25;17.75;17.25;18.50;18.25;;;;;
15.25;16.00;15.75;16.25;16.75;16.75;18.00;17.25;;;;;
15.75;15.75;15.50;16.50;18.25;18.00;17.50;17.50;;;;;
15.75;15.50;15.50;16.00;19.75;17.00;17.50;17.75;;;;;
16.25;14.75;14.75;15.00;15.75;16.50;17.00;17.00;;;;;
15.75;15.50;15.00;15.25;15.50;16.25;16.00;16.50;;;;;
14.75;14.75;14.75;14.75;14.75;15.25;15.00;16.25;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
18.00;18.25;17.75;18.25;18.25;19.00;19.00;19.50;;;;;
16.75;17.25;17.25;17.00;17.25;17.50;18.00;18.75;;;;;
15.75;16.50;16.50;16.50;17.25;17.25;17.50;17.75;;;;;
15.00;15.75;15.50;16.50;20.00;18.50;17.25;18.00;;;;;
15.50;15.50;15.00;15.75;17.75;16.50;17.25;17.75;;;;;
